all_datetime,03805_PRV_1,03805_PRV_2,3807_1,03808_1_1,03808_2_1,3809_1,3810_1,3811_1,3812_1,03814_1_1,03814_2_1
2020-01-13 23:45:00,,,,,,,,7.04,,,
2020-01-14 00:00:00,,,,,,,,6.32,,,
2020-01-14 00:15:00,,,,,,,,5.36,,,
2020-01-14 00:30:00,,,,,,,,4.72,,,
2020-01-14 00:45:00,,,,,,,,4.68,,,
2020-01-14 01:00:00,,,,,,,,4.52,,,
2020-01-14 01:15:00,,,,,,,,3.96,,,
2020-01-14 01:30:00,,,,,,,,3.96,,,
2020-01-14 01:45:00,,,,,,,,4.16,,,
2020-01-14 02:00:00,,,,,,,,3.44,,,
2020-01-14 02:15:00,,,,,,,,3.56,,,
2020-01-14 02:30:00,,,,,,,,3.84,,,
2020-01-14 02:45:00,,,,,,,,3.44,,,
2020-01-14 03:00:00,,,,,,,,3.28,,,
2020-01-14 03:15:00,,,,,,,,3.72,,,
2020-01-14 03:30:00,,,,,,,,3.52,,,
2020-01-14 03:45:00,,,,,,,,3.68,,,
2020-01-14 04:00:00,,,,,,,,3.72,,,
2020-01-14 04:15:00,,,,,,,,3.88,,,
2020-01-14 04:30:00,,,,,,,,4.8,,,
2020-01-14 04:45:00,,,,,,,,4.24,,,
2020-01-14 05:00:00,,,,,,,,4.36,,,
2020-01-14 05:15:00,,,,,,,,5.16,,,
2020-01-14 05:30:00,,,,,,,,6.16,,,
2020-01-14 05:45:00,,,,,,,,5.48,,,
2020-01-14 06:00:00,,,,,,,,7.2,,,
2020-01-14 06:15:00,,,,,,,,10,,,
2020-01-14 06:30:00,,,,,,,,11.52,,,
2020-01-14 06:45:00,,,,,,,,14.36,,,
2020-01-14 07:00:00,,,,,,,,15.4,,,
2020-01-14 07:15:00,,,,,,,,16.72,,,
2020-01-14 07:30:00,,,,,,,,20.2,,,
2020-01-14 07:45:00,,,,,,,,17.12,,,
2020-01-14 08:00:00,,,,,,,,15.72,,,
2020-01-14 08:15:00,,,,,,,,17.92,,,
2020-01-14 08:30:00,,,,,,,,18.32,,,
2020-01-14 08:45:00,,,,,,,,14.16,,,
2020-01-14 09:00:00,,,,,,,,13.24,,,
2020-01-14 09:15:00,,,,,,,,15.44,,,
2020-01-14 09:30:00,,,,,,,,13.52,,,
2020-01-14 09:45:00,,,,,,,,14,,,
2020-01-14 10:00:00,,,,,,,,13.8,,,
2020-01-14 10:15:00,,,,,,,,16.52,,,
2020-01-14 10:30:00,,,,,,,,15.08,,,
2020-01-14 10:45:00,,,,,,,,14.44,,,
2020-01-14 11:00:00,,,,,,,,16.24,,,
2020-01-14 11:15:00,,,,,,,,17.92,,,
2020-01-14 11:30:00,,,,,,,,16.2,,,
2020-01-14 11:45:00,,,,,,,,18.6,,,
2020-01-14 12:00:00,,,,,,,,16.32,,,
2020-01-14 12:15:00,,,,,,,,15.6,,,
2020-01-14 12:30:00,,,,,,,,15,,,
2020-01-14 12:45:00,,,,,,,,15.32,,,
2020-01-14 13:00:00,,,,,,,,15.72,,,
2020-01-14 13:15:00,,,,,,,,14.52,,,
2020-01-14 13:30:00,,,,,,,,15.4,,,
2020-01-14 13:45:00,,,,,,,,15.52,,,
2020-01-14 14:00:00,,,,,,,,14.4,,,
2020-01-14 14:15:00,,,,,,,,13.08,,,
2020-01-14 14:30:00,,,,,,,,14.28,,,
2020-01-14 14:45:00,,,,,,,,14.88,,,
2020-01-14 15:00:00,,,,,,,,12.2,,,
2020-01-14 15:15:00,,,,,,,,14.12,,,
2020-01-14 15:30:00,,,,,,,,12.8,,,
2020-01-14 15:45:00,,,,,,,,13.24,,,
2020-01-14 16:00:00,,,,,,,,15.28,,,
2020-01-14 16:15:00,,,,,,,,16.76,,,
